species,tissueType,tissuetype_id,clusterName,celltype_id,gene_MSU,gene
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os01g01290,Os01g0102400
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os01g06630,Os01g0159600
Oryza_sativa,seed,PO0009011,endosperm,PO0009089,LOC_Os01g07930,Os01g0174600
Oryza_sativa,seed,PO0009012,endosperm,PO0009089,LOC_Os01g12580,Os01g0225600
Oryza_sativa,seed,PO0009013,endosperm,PO0009089,LOC_Os01g13360,Os01g0234850
Oryza_sativa,seed,PO0009014,endosperm,PO0009089,LOC_Os01g16920,Os01g0276300
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os01g24460,Os01g0346900
Oryza_sativa,seed,PO0009016,endosperm,PO0009089,LOC_Os01g25450,Os01g0356800
Oryza_sativa,seed,PO0009017,endosperm,PO0009089,LOC_Os01g27630,Os01g0374000
Oryza_sativa,seed,PO0009018,endosperm,PO0009089,LOC_Os01g29840,Os01g0393100
Oryza_sativa,seed,PO0009019,endosperm,PO0009089,LOC_Os01g39020,Os01g0571300
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os01g39850,Os01g0580400
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os01g41050,Os01g0593700
Oryza_sativa,seed,PO0009020,endosperm,PO0009089,LOC_Os01g41720,Os01g0601000
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os01g44220,Os01g0633100
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os01g44240,Os01g0633300
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os01g44340,Os01g0634600
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os01g45624,Os01g0643900
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os01g49830,Os01g0693400
Oryza_sativa,seed,PO0009021,endosperm,PO0009089,LOC_Os01g50110,Os01g0695900
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os01g53550,Os01g0737100
Oryza_sativa,seed,PO0009023,endosperm,PO0009089,LOC_Os01g54030,Os01g0743500
Oryza_sativa,seed,PO0009024,endosperm,PO0009089,LOC_Os01g54040,Os01g0743600
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os01g54520,Os01g0749000
Oryza_sativa,seed,PO0009025,endosperm,PO0009089,LOC_Os01g55630,Os01g0761800
Oryza_sativa,seed,PO0009026,endosperm,PO0009089,LOC_Os01g55690,Os01g0762500
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os01g57890,Os01g0788800
Oryza_sativa,seed,PO0009010,embryo,PO0009009,LOC_Os01g58890,Os01g0803200
Oryza_sativa,seed,PO0009028,endosperm,PO0009089,LOC_Os01g59100,Os01g0805400
Oryza_sativa,seed,PO0009029,endosperm,PO0009089,LOC_Os01g59200,Os01g0806400
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os01g65770,Os01g0880100
Oryza_sativa,seed,PO0009030,endosperm,PO0009089,LOC_Os01g67310,Os01g0898500
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os01g67830,Os01g0905400
Oryza_sativa,seed,PO0009032,endosperm,PO0009089,LOC_Os01g72210,Os01g0950900
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os01g74590,Os01g0977300
Oryza_sativa,seed,PO0009034,endosperm,PO0009089,LOC_Os02g06690,Os02g0162200
Oryza_sativa,seed,PO0009035,endosperm,PO0009089,LOC_Os02g07550,Os02g0171500
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os02g09070,Os02g0183000
Oryza_sativa,seed,PO0009036,endosperm,PO0009089,LOC_Os02g09190,Os02g0184600
Oryza_sativa,seed,PO0009037,endosperm,PO0009089,LOC_Os02g09270,Os02g0185500
Oryza_sativa,seed,PO0009038,endosperm,PO0009089,LOC_Os02g09320,Os02g0186200
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os02g10800,Os02g0202400
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os02g12310,Os02g0214500
Oryza_sativa,seed,PO0009041,endosperm,PO0009089,LOC_Os02g14600,Os02g0242600
Oryza_sativa,seed,PO0009042,endosperm,PO0009089,LOC_Os02g15070,Os02g0248800
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os02g15090,Os02g0249000
