species,tissueType,tissuetype_id,clusterName,celltype_id,gene_MSU,gene,Marker_resource,PMID,Note_gene_type
Oryza_sativa,flower,PO0009046,plant ovary,PO0009072,LOC_Os01g01290,,Experimental,29514259,Cell-Marker gene
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os01g01290,,Experimental,29514259,Cell-Marker gene
Oryza_sativa,vascular system,PO0000034,phloem,PO0005417,LOC_Os01g02000,Os01g0110100,Experimental,32484878,Cell-Marker gene
Oryza_sativa,stem,PO0009047,stem,PO0009047,LOC_Os01g02000,Os01g0110100,Experimental,32484878,Cell-Marker gene
Oryza_sativa,flower,PO0009046,inner integument,PO0020022,LOC_Os01g02000,Os01g0110100,Experimental,32484878,Cell-Marker gene
Oryza_sativa,flower,PO0009046,integument,PO0020021,LOC_Os01g02000,Os01g0110100,Experimental,32484878,Cell-Marker gene
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os01g02120,Os01g0111600,Experimental,32170894,Cell-Marker gene
Oryza_sativa,plant embryo,PO0009009,plant embryo,PO0009009,LOC_Os01g02120,Os01g0111600,Experimental,32170894,Cell-Marker gene
Oryza_sativa,root,PO0009005,shoot,PO0000042,LOC_Os01g02890,,Experimental,21928114,Cell-Marker gene
Oryza_sativa,flower,PO0009046,floral organ,PO0025395,LOC_Os01g03840,,Experimental,19453444,Cell-Marker gene
Oryza_sativa,flower,PO0009046,stigma,PO0009073,LOC_Os01g05790,,Experimental,30675653,Cell-Marker gene
Oryza_sativa,root epidermis,PO0006036,root hair cell,PO0000256,LOC_Os01g07060,,Experimental,33352304,Cell-Marker gene
Oryza_sativa,plant embryo,PO0009009,plant embryo,PO0009009,LOC_Os01g10110,Os01g0197700,Experimental,32616661,Cell-Marker gene
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os01g10110,Os01g0197700,Experimental,32616661,Cell-Marker gene
Oryza_sativa,plant embryo,PO0009009,plant embryo,PO0009009,LOC_Os01g10110,Os01g0197700,Experimental,33450933,Cell-Marker gene
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os01g10110,Os01g0197700,Experimental,33450933,Cell-Marker gene
Oryza_sativa,flower,PO0009046,carpel,PO0009030,LOC_Os01g10504,Os01g0201700,Experimental,30715478,Cell-Marker gene
Oryza_sativa,flower,PO0009046,anther,PO0009066,LOC_Os01g10504,Os01g0201700,Experimental,30715478,Cell-Marker gene
Oryza_sativa,flower,PO0009046,plant ovule,PO0020003,LOC_Os01g10504,Os01g0201700,Experimental,30715478,Cell-Marker gene
Oryza_sativa,flower,PO0009046,flower,PO0009046,LOC_Os01g10504,,Experimental,16326928,Cell-Marker gene
Oryza_sativa,flower,PO0009046,flower,PO0009046,LOC_Os01g10504,,Experimental,9869408,Cell-Marker gene
