gene,name,p_val,p_val_adj,pct_1,pct_2,pct_diff,avg_log2FC,clusterName,celltype_id,species,tissue,dataset
Os12g0570700,OsMT1a,0.0,0.0,0.609,0.331,0.278,2.63167048977488,Parenchyma,oryza_sativa->PO:0009005;PO:0009025->PO:0025059->PO:0005421,oryza_sativa,Root;Leaf,CRA004082
Os01g0959200,Asr4,0.0,0.0,0.363,0.161,0.202,2.54797562561769,Parenchyma,oryza_sativa->PO:0009005;PO:0009025->PO:0025059->PO:0005421,oryza_sativa,Root;Leaf,CRA004082
Os01g0959100,Asr3,0.0,0.0,0.589,0.353,0.236,2.38938226695417,Parenchyma,oryza_sativa->PO:0009005;PO:0009025->PO:0025059->PO:0005421,oryza_sativa,Root;Leaf,CRA004082
Os12g0628600,Os12g0628600,0.0,0.0,0.262,0.054,0.208,1.96039790008127,Parenchyma,oryza_sativa->PO:0009005;PO:0009025->PO:0025059->PO:0005421,oryza_sativa,Root;Leaf,CRA004082
Os01g0136200,Oshsp16.9B,0.0,0.0,0.403,0.182,0.221,1.88469632919246,Parenchyma,oryza_sativa->PO:0009005;PO:0009025->PO:0025059->PO:0005421,oryza_sativa,Root;Leaf,CRA004082
Os01g0121500,LOC_Os01g03130,0.0,0.0,0.618,0.371,0.247,1.87496289299713,Parenchyma,oryza_sativa->PO:0009005;PO:0009025->PO:0025059->PO:0005421,oryza_sativa,Root;Leaf,CRA004082
Os01g0615100,OCPI2,0.0,0.0,0.504,0.378,0.126,1.76095929245635,Parenchyma,oryza_sativa->PO:0009005;PO:0009025->PO:0025059->PO:0005421,oryza_sativa,Root;Leaf,CRA004082
Os03g0822700,LOC_Os03g60780,0.0,0.0,0.703,0.562,0.141,1.68280109208589,Parenchyma,oryza_sativa->PO:0009005;PO:0009025->PO:0025059->PO:0005421,oryza_sativa,Root;Leaf,CRA004082
Os08g0509100,OsLOX8,0.0,0.0,0.458,0.156,0.302,1.61302135508473,Parenchyma,oryza_sativa->PO:0009005;PO:0009025->PO:0025059->PO:0005421,oryza_sativa,Root;Leaf,CRA004082
Os03g0267200,OsHsp17.7,0.0,0.0,0.781,0.672,0.109,1.53560571110731,Parenchyma,oryza_sativa->PO:0009005;PO:0009025->PO:0025059->PO:0005421,oryza_sativa,Root;Leaf,CRA004082
Os03g0277300,Os03g0277300,0.0,0.0,0.537,0.29,0.247,1.53496429572233,Parenchyma,oryza_sativa->PO:0009005;PO:0009025->PO:0025059->PO:0005421,oryza_sativa,Root;Leaf,CRA004082
Os03g0245800,OsHSP26,0.0,0.0,0.464,0.29,0.174,1.47782659419169,Parenchyma,oryza_sativa->PO:0009005;PO:0009025->PO:0025059->PO:0005421,oryza_sativa,Root;Leaf,CRA004082
Os03g0267000,OsHSP18.0-CI,0.0,0.0,0.826,0.736,0.09,1.45661153835318,Parenchyma,oryza_sativa->PO:0009005;PO:0009025->PO:0025059->PO:0005421,oryza_sativa,Root;Leaf,CRA004082
Os01g0184100,OsHsp18.0,0.0,0.0,0.805,0.734,0.0710000000000001,1.43122312892405,Parenchyma,oryza_sativa->PO:0009005;PO:0009025->PO:0025059->PO:0005421,oryza_sativa,Root;Leaf,CRA004082
